census_tract_number,state,county,tract_type,acs_data_source
01057020300,Alabama,Fayette,Low-Income Community,2011-2015
01059973700,Alabama,Franklin,Low-Income Community,2011-2015
01061050300,Alabama,Geneva,Low-Income Community,2011-2015
01063060200,Alabama,Greene,Low-Income Community,2011-2015
01065040400,Alabama,Hale,Low-Income Community,2011-2015
01067030200,Alabama,Henry,Low-Income Community,2011-2015
01069041500,Alabama,Houston,Low-Income Community,2011-2015
01071950600,Alabama,Jackson,Low-Income Community,2011-2015
01073000100,Alabama,Jefferson,Low-Income Community,2011-2015
01073000300,Alabama,Jefferson,Low-Income Community,2011-2015
01073000400,Alabama,Jefferson,Low-Income Community,2011-2015
01073000500,Alabama,Jefferson,Low-Income Community,2011-2015
01073000700,Alabama,Jefferson,Low-Income Community,2011-2015
01073000800,Alabama,Jefferson,Low-Income Community,2011-2015
01073001200,Alabama,Jefferson,Low-Income Community,2011-2015
01073001400,Alabama,Jefferson,Low-Income Community,2011-2015
01073001500,Alabama,Jefferson,Low-Income Community,2011-2015
01073001600,Alabama,Jefferson,Low-Income Community,2011-2015
01073001902,Alabama,Jefferson,Low-Income Community,2011-2015
01073002200,Alabama,Jefferson,Low-Income Community,2011-2015
01073002303,Alabama,Jefferson,Low-Income Community,2011-2015
01073002400,Alabama,Jefferson,Low-Income Community,2011-2015
01073002700,Alabama,Jefferson,Low-Income Community,2011-2015
01073002900,Alabama,Jefferson,Low-Income Community,2011-2015
01073003001,Alabama,Jefferson,Low-Income Community,2011-2015
01073003002,Alabama,Jefferson,Low-Income Community,2011-2015
01073003200,Alabama,Jefferson,Low-Income Community,2011-2015
01073003900,Alabama,Jefferson,Low-Income Community,2011-2015
01073004200,Alabama,Jefferson,Low-Income Community,2011-2015
01073004500,Alabama,Jefferson,Low-Income Community,2011-2015
01073010200,Alabama,Jefferson,Low-Income Community,2011-2015
01073011209,Alabama,Jefferson,Low-Income Community,2011-2015
01073011705,Alabama,Jefferson,Non-LIC Contiguous,2011-2015
01073012002,Alabama,Jefferson,Low-Income Community,2011-2015
01073012701,Alabama,Jefferson,Low-Income Community,2011-2015
01073013100,Alabama,Jefferson,Low-Income Community,2011-2015
01075030100,Alabama,Lamar,Low-Income Community,2011-2015
01077010100,Alabama,Lauderdale,Low-Income Community,2011-2015
01077010900,Alabama,Lauderdale,Low-Income Community,2011-2015
01079979100,Alabama,Lawrence,Low-Income Community,2011-2015
01081040200,Alabama,Lee,Low-Income Community,2011-2015
01081040300,Alabama,Lee,Low-Income Community,2011-2015
01081040604,Alabama,Lee,Low-Income Community,2011-2015
01081040700,Alabama,Lee,Low-Income Community,2011-2015
01081040800,Alabama,Lee,Low-Income Community,2011-2015
01081041100,Alabama,Lee,Low-Income Community,2011-2015
01081041300,Alabama,Lee,Low-Income Community,2011-2015
01083020201,Alabama,Limestone,Low-Income Community,2011-2015
01083020600,Alabama,Limestone,Low-Income Community,2011-2015
01083020700,Alabama,Limestone,Low-Income Community,2011-2015
01085780800,Alabama,Lowndes,Low-Income Community,2011-2015
01087231500,Alabama,Macon,Low-Income Community,2011-2015
01087231603,Alabama,Macon,Low-Income Community,2011-2015
01087232200,Alabama,Macon,Low-Income Community,2011-2015
01089000201,Alabama,Madison,Low-Income Community,2011-2015
01089000202,Alabama,Madison,Low-Income Community,2011-2015
01089001301,Alabama,Madison,Low-Income Community,2011-2015
01089001402,Alabama,Madison,Low-Income Community,2011-2015
01089001500,Alabama,Madison,Low-Income Community,2011-2015
01089002100,Alabama,Madison,Low-Income Community,2011-2015
01089002501,Alabama,Madison,Low-Income Community,2011-2015
01089003000,Alabama,Madison,Low-Income Community,2011-2015
01089003100,Alabama,Madison,Low-Income Community,2011-2015
01089010622,Alabama,Madison,Low-Income Community,2011-2015
01091972900,Alabama,Marengo,Low-Income Community,2011-2015
01093964400,Alabama,Marion,Low-Income Community,2011-2015
01093964500,Alabama,Marion,Non-LIC Contiguous,2011-2015
01095030100,Alabama,Marshall,Low-Income Community,2011-2015
01097000200,Alabama,Mobile,Low-Income Community,2011-2015
01097000401,Alabama,Mobile,Low-Income Community,2011-2015
01097000600,Alabama,Mobile,Low-Income Community,2011-2015
01097001002,Alabama,Mobile,Low-Income Community,2011-2015
01097001200,Alabama,Mobile,Low-Income Community,2011-2015
01097001302,Alabama,Mobile,Low-Income Community,2011-2015
01097001400,Alabama,Mobile,Low-Income Community,2011-2015
01097001501,Alabama,Mobile,Low-Income Community,2011-2015
01097001502,Alabama,Mobile,Low-Income Community,2011-2015
01097002600,Alabama,Mobile,Low-Income Community,2011-2015
01097002800,Alabama,Mobile,Low-Income Community,2011-2015
01097003402,Alabama,Mobile,Low-Income Community,2011-2015
01097006403,Alabama,Mobile,Low-Income Community,2011-2015
01097007400,Alabama,Mobile,Low-Income Community,2011-2015
01099076000,Alabama,Monroe,Low-Income Community,2011-2015
01101000100,Alabama,Montgomery,Low-Income Community,2011-2015
01101000200,Alabama,Montgomery,Low-Income Community,2011-2015
01101000300,Alabama,Montgomery,Low-Income Community,2011-2015
01101000500,Alabama,Montgomery,Low-Income Community,2011-2015
01101000600,Alabama,Montgomery,Low-Income Community,2011-2015
01101001000,Alabama,Montgomery,Low-Income Community,2011-2015
01101001100,Alabama,Montgomery,Low-Income Community,2011-2015
01101002100,Alabama,Montgomery,Low-Income Community,2011-2015
01101002900,Alabama,Montgomery,Low-Income Community,2011-2015
01101005603,Alabama,Montgomery,Low-Income Community,2011-2015
01101005902,Alabama,Montgomery,Low-Income Community,2011-2015
01101006000,Alabama,Montgomery,Low-Income Community,2011-2015
01103000100,Alabama,Morgan,Low-Income Community,2011-2015
01105687000,Alabama,Perry,Low-Income Community,2011-2015
01107050100,Alabama,Pickens,Low-Income Community,2011-2015
01109189100,Alabama,Pike,Low-Income Community,2011-2015
01111000500,Alabama,Randolph,Low-Income Community,2011-2015
01113030200,Alabama,Russell,Low-Income Community,2011-2015
01115040203,Alabama,St. Clair,Low-Income Community,2011-2015
01117030703,Alabama,Shelby,Low-Income Community,2011-2015
01119011300,Alabama,Sumter,Low-Income Community,2011-2015
01121010900,Alabama,Talladega,Low-Income Community,2011-2015
01123962300,Alabama,Tallapoosa,Low-Income Community,2011-2015
01125010403,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125010404,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125011600,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125011701,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125011800,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125012100,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125012303,Alabama,Tuscaloosa,Non-LIC Contiguous,2011-2015
01125012405,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125012600,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01125012800,Alabama,Tuscaloosa,Low-Income Community,2011-2015
01127020400,Alabama,Walker,Low-Income Community,2011-2015
01129044200,Alabama,Washington,Low-Income Community,2011-2015
01131035100,Alabama,Wilcox,Low-Income Community,2011-2015
01133965700,Alabama,Winston,Low-Income Community,2011-2015
02013000100,Alaska,Aleutians East,Low-Income Community,2011-2015
02016000100,Alaska,Aleutians West,Low-Income Community,2011-2015
02020000300,Alaska,Anchorage,Low-Income Community,2011-2015
02020000600,Alaska,Anchorage,Low-Income Community,2011-2015
02020000702,Alaska,Anchorage,Low-Income Community,2011-2015
02020000703,Alaska,Anchorage,Low-Income Community,2011-2015
02020001000,Alaska,Anchorage,Low-Income Community,2011-2015
02020001900,Alaska,Anchorage,Low-Income Community,2011-2015
02020002000,Alaska,Anchorage,Low-Income Community,2011-2015
02050000300,Alaska,Bethel,Low-Income Community,2011-2015
02090000100,Alaska,Fairbanks North Star,Low-Income Community,2011-2015
02090000200,Alaska,Fairbanks North Star,Low-Income Community,2011-2015
02090001100,Alaska,Fairbanks North Star,Low-Income Community,2011-2015
02100000100,Alaska,Haines,Low-Income Community,2012-2016
02105000300,Alaska,Hoonah-Angoon,Low-Income Community,2011-2015
02122000100,Alaska,Kenai Peninsula,Low-Income Community,2011-2015
02170000401,Alaska,Matanuska-Susitna,Low-Income Community,2011-2015
02170000701,Alaska,Matanuska-Susitna,Low-Income Community,2012-2016
02180000100,Alaska,Nome,Low-Income Community,2011-2015
02185000200,Alaska,North Slope,Low-Income Community,2011-2015
02188000100,Alaska,Northwest Arctic,Low-Income Community,2011-2015
02198000100,Alaska,Prince of Wales-Hyder,Low-Income Community,2011-2015
02198940100,Alaska,Prince of Wales-Hyder,Low-Income Community,2011-2015
02275000300,Alaska,Wrangell,Low-Income Community,2011-2015
02290000200,Alaska,Yukon-Koyukuk,Low-Income Community,2011-2015
60010950100,American Samoa,Eastern,Low-Income Community,2011-2015
60010950200,American Samoa,Eastern,Low-Income Community,2011-2015
60010950300,American Samoa,Eastern,Low-Income Community,2011-2015
60010950500,American Samoa,Eastern,Low-Income Community,2011-2015
60010950600,American Samoa,Eastern,Low-Income Community,2011-2015
60010950700,American Samoa,Eastern,Low-Income Community,2011-2015
60010950900,American Samoa,Eastern,Low-Income Community,2011-2015
60020951800,American Samoa,Manu'a ,Low-Income Community,2011-2015
60050951000,American Samoa,Western ,Low-Income Community,2011-2015
60050951100,American Samoa,Western ,Low-Income Community,2011-2015
60050951201,American Samoa,Western ,Low-Income Community,2011-2015
60050951202,American Samoa,Western ,Low-Income Community,2011-2015
60050951203,American Samoa,Western ,Low-Income Community,2011-2015
60050951300,American Samoa,Western ,Low-Income Community,2011-2015
60050951500,American Samoa,Western ,Low-Income Community,2011-2015
60050951600,American Samoa,Western ,Low-Income Community,2011-2015
04001945100,Arizona,Apache,Low-Income Community,2011-2015
04001970200,Arizona,Apache,Low-Income Community,2011-2015
04001970502,Arizona,Apache,Non-LIC Contiguous,2011-2015
04003000301,Arizona,Cochise,Low-Income Community,2011-2015
04003000600,Arizona,Cochise,Low-Income Community,2011-2015
04003001100,Arizona,Cochise,Low-Income Community,2011-2015
04003001702,Arizona,Cochise,Low-Income Community,2011-2015
04005000900,Arizona,Coconino,Low-Income Community,2011-2015
04005002200,Arizona,Coconino,Non-LIC Contiguous,2011-2015
04005002300,Arizona,Coconino,Low-Income Community,2011-2015
04005942202,Arizona,Coconino,Low-Income Community,2011-2015
04005945000,Arizona,Coconino,Low-Income Community,2011-2015
04005945100,Arizona,Coconino,Low-Income Community,2011-2015
04005945200,Arizona,Coconino,Low-Income Community,2011-2015
04007000900,Arizona,Gila,Low-Income Community,2011-2015
04007001100,Arizona,Gila,Low-Income Community,2012-2016
04007940400,Arizona,Gila,Low-Income Community,2011-2015
04009961201,Arizona,Graham,Low-Income Community,2011-2015
04011960100,Arizona,Greenlee,Non-LIC Contiguous,2011-2015
04011960300,Arizona,Greenlee,Low-Income Community,2011-2015
04012020100,Arizona,La Paz,Low-Income Community,2011-2015
04012940300,Arizona,La Paz,Low-Income Community,2011-2015
04013040502,Arizona,Maricopa,Low-Income Community,2011-2015
04013050604,Arizona,Maricopa,Low-Income Community,2011-2015
04013050607,Arizona,Maricopa,Low-Income Community,2011-2015
04013050609,Arizona,Maricopa,Low-Income Community,2011-2015
04013060801,Arizona,Maricopa,Low-Income Community,2011-2015
04013060902,Arizona,Maricopa,Low-Income Community,2011-2015
04013061024,Arizona,Maricopa,Non-LIC Contiguous,2011-2015
04013061200,Arizona,Maricopa,Low-Income Community,2011-2015
04013061300,Arizona,Maricopa,Low-Income Community,2011-2015
04013071910,Arizona,Maricopa,Low-Income Community,2011-2015
04013071913,Arizona,Maricopa,Low-Income Community,2011-2015
04013082024,Arizona,Maricopa,Low-Income Community,2011-2015
04013082208,Arizona,Maricopa,Low-Income Community,2011-2015
04013092401,Arizona,Maricopa,Low-Income Community,2011-2015
04013092500,Arizona,Maricopa,Low-Income Community,2011-2015
04013092600,Arizona,Maricopa,Low-Income Community,2011-2015
04013092900,Arizona,Maricopa,Low-Income Community,2011-2015
04013093001,Arizona,Maricopa,Low-Income Community,2011-2015
04013093104,Arizona,Maricopa,Low-Income Community,2011-2015
04013103210,Arizona,Maricopa,Low-Income Community,2011-2015
04013104205,Arizona,Maricopa,Low-Income Community,2011-2015
04013104401,Arizona,Maricopa,Low-Income Community,2011-2015
04013104402,Arizona,Maricopa,Low-Income Community,2011-2015
04013105501,Arizona,Maricopa,Low-Income Community,2011-2015
04013105502,Arizona,Maricopa,Low-Income Community,2011-2015
04013105503,Arizona,Maricopa,Low-Income Community,2011-2015
04013106003,Arizona,Maricopa,Low-Income Community,2011-2015
04013106802,Arizona,Maricopa,Low-Income Community,2011-2015
04013107201,Arizona,Maricopa,Low-Income Community,2011-2015
04013107300,Arizona,Maricopa,Low-Income Community,2011-2015
04013107400,Arizona,Maricopa,Low-Income Community,2011-2015
04013108902,Arizona,Maricopa,Low-Income Community,2011-2015
04013109002,Arizona,Maricopa,Low-Income Community,2011-2015
04013109003,Arizona,Maricopa,Low-Income Community,2011-2015
04013109200,Arizona,Maricopa,Low-Income Community,2011-2015
04013109300,Arizona,Maricopa,Low-Income Community,2011-2015
04013110100,Arizona,Maricopa,Low-Income Community,2011-2015
04013111700,Arizona,Maricopa,Low-Income Community,2011-2015
04013112100,Arizona,Maricopa,Low-Income Community,2011-2015
04013112509,Arizona,Maricopa,Low-Income Community,2011-2015
04013112512,Arizona,Maricopa,Low-Income Community,2011-2015
04013112513,Arizona,Maricopa,Low-Income Community,2011-2015
04013113100,Arizona,Maricopa,Low-Income Community,2011-2015
04013113203,Arizona,Maricopa,Low-Income Community,2011-2015
04013113300,Arizona,Maricopa,Low-Income Community,2011-2015
04013113801,Arizona,Maricopa,Low-Income Community,2011-2015
04013113900,Arizona,Maricopa,Low-Income Community,2011-2015
04013114000,Arizona,Maricopa,Low-Income Community,2011-2015
04013114100,Arizona,Maricopa,Low-Income Community,2011-2015
04013114200,Arizona,Maricopa,Low-Income Community,2011-2015
04013114800,Arizona,Maricopa,Low-Income Community,2011-2015
04013114900,Arizona,Maricopa,Low-Income Community,2011-2015
04013115200,Arizona,Maricopa,Low-Income Community,2011-2015
04013115300,Arizona,Maricopa,Low-Income Community,2011-2015
04013115400,Arizona,Maricopa,Low-Income Community,2011-2015
04013115801,Arizona,Maricopa,Low-Income Community,2011-2015
04013116500,Arizona,Maricopa,Low-Income Community,2011-2015
04013116900,Arizona,Maricopa,Low-Income Community,2011-2015
04013117200,Arizona,Maricopa,Low-Income Community,2011-2015
04013117300,Arizona,Maricopa,Low-Income Community,2011-2015
04013217201,Arizona,Maricopa,Low-Income Community,2011-2015
04013218000,Arizona,Maricopa,Low-Income Community,2011-2015
04013318400,Arizona,Maricopa,Low-Income Community,2011-2015
04013318800,Arizona,Maricopa,Low-Income Community,2011-2015
04013319104,Arizona,Maricopa,Low-Income Community,2011-2015
04013319202,Arizona,Maricopa,Low-Income Community,2011-2015
04013319705,Arizona,Maricopa,Low-Income Community,2011-2015
04013420206,Arizona,Maricopa,Low-Income Community,2011-2015
04013421302,Arizona,Maricopa,Low-Income Community,2011-2015
04013421303,Arizona,Maricopa,Low-Income Community,2011-2015
04013421304,Arizona,Maricopa,Low-Income Community,2011-2015
04013421400,Arizona,Maricopa,Low-Income Community,2011-2015
04013421501,Arizona,Maricopa,Low-Income Community,2011-2015
04013421502,Arizona,Maricopa,Low-Income Community,2011-2015
04013422203,Arizona,Maricopa,Low-Income Community,2011-2015
04013422401,Arizona,Maricopa,Low-Income Community,2011-2015
04013422641,Arizona,Maricopa,Non-LIC Contiguous,2011-2015
04013522800,Arizona,Maricopa,Low-Income Community,2011-2015
04013523102,Arizona,Maricopa,Low-Income Community,2011-2015
04013523104,Arizona,Maricopa,Low-Income Community,2011-2015
04013614700,Arizona,Maricopa,Low-Income Community,2011-2015
04013723305,Arizona,Maricopa,Low-Income Community,2011-2015
04013817600,Arizona,Maricopa,Low-Income Community,2011-2015
04013941100,Arizona,Maricopa,Low-Income Community,2011-2015
04013941300,Arizona,Maricopa,Low-Income Community,2011-2015
04015940400,Arizona,Mohave,Low-Income Community,2011-2015
04015951602,Arizona,Mohave,Low-Income Community,2011-2015
04015951900,Arizona,Mohave,Low-Income Community,2011-2015
04015952400,Arizona,Mohave,Low-Income Community,2011-2015
04015953900,Arizona,Mohave,Non-LIC Contiguous,2011-2015
04015954800,Arizona,Mohave,Low-Income Community,2011-2015
04015955000,Arizona,Mohave,Low-Income Community,2011-2015
04017960500,Arizona,Navajo,Low-Income Community,2011-2015
04017963300,Arizona,Navajo,Low-Income Community,2011-2015
04017965300,Arizona,Navajo,Low-Income Community,2011-2015
04019000100,Arizona,Pima,Low-Income Community,2011-2015
04019000200,Arizona,Pima,Low-Income Community,2011-2015
04019000300,Arizona,Pima,Low-Income Community,2011-2015
04019000400,Arizona,Pima,Low-Income Community,2011-2015
04019000800,Arizona,Pima,Low-Income Community,2011-2015
04019001200,Arizona,Pima,Low-Income Community,2011-2015
04019001302,Arizona,Pima,Low-Income Community,2011-2015
04019001303,Arizona,Pima,Low-Income Community,2011-2015
04019001801,Arizona,Pima,Low-Income Community,2011-2015
04019002201,Arizona,Pima,Low-Income Community,2011-2015
04019002202,Arizona,Pima,Low-Income Community,2011-2015
04019002300,Arizona,Pima,Low-Income Community,2011-2015
04019002501,Arizona,Pima,Low-Income Community,2011-2015
04019002901,Arizona,Pima,Low-Income Community,2011-2015
04019003501,Arizona,Pima,Low-Income Community,2011-2015
04019003802,Arizona,Pima,Low-Income Community,2011-2015
04019004011,Arizona,Pima,Low-Income Community,2011-2015
04019004067,Arizona,Pima,Low-Income Community,2011-2015
04019004112,Arizona,Pima,Low-Income Community,2011-2015
04019004115,Arizona,Pima,Low-Income Community,2011-2015
04019004116,Arizona,Pima,Low-Income Community,2011-2015
04019004117,Arizona,Pima,Low-Income Community,2011-2015
04019004122,Arizona,Pima,Low-Income Community,2011-2015
04019004504,Arizona,Pima,Low-Income Community,2011-2015
04019004613,Arizona,Pima,Low-Income Community,2011-2015
04019410502,Arizona,Pima,Non-LIC Contiguous,2011-2015
04019940900,Arizona,Pima,Low-Income Community,2011-2015
04019941000,Arizona,Pima,Low-Income Community,2011-2015
04021000310,Arizona,Pinal,Low-Income Community,2011-2015
04021000400,Arizona,Pinal,Low-Income Community,2012-2016
04021000700,Arizona,Pinal,Low-Income Community,2011-2015
04021000901,Arizona,Pinal,Low-Income Community,2011-2015
04021001000,Arizona,Pinal,Low-Income Community,2011-2015
04021001500,Arizona,Pinal,Low-Income Community,2011-2015
04021001900,Arizona,Pinal,Low-Income Community,2011-2015
04021002103,Arizona,Pinal,Low-Income Community,2011-2015
04021002300,Arizona,Pinal,Non-LIC Contiguous,2011-2015
04023966302,Arizona,Santa Cruz,Low-Income Community,2011-2015
04023966402,Arizona,Santa Cruz,Low-Income Community,2011-2015
04025000606,Arizona,Yavapai,Low-Income Community,2011-2015
04025000900,Arizona,Yavapai,Low-Income Community,2011-2015
04025001601,Arizona,Yavapai,Low-Income Community,2011-2015
04025002100,Arizona,Yavapai,Low-Income Community,2011-2015
04027000100,Arizona,Yuma,Low-Income Community,2011-2015
04027000700,Arizona,Yuma,Low-Income Community,2011-2015
04027010913,Arizona,Yuma,Low-Income Community,2011-2015
04027011202,Arizona,Yuma,Low-Income Community,2011-2015
04027011403,Arizona,Yuma,Low-Income Community,2011-2015
04027011501,Arizona,Yuma,Low-Income Community,2011-2015
04027011600,Arizona,Yuma,Low-Income Community,2011-2015
04027012100,Arizona,Yuma,Low-Income Community,2011-2015
05001480400,Arkansas,Arkansas,Low-Income Community,2011-2015
05003960600,Arkansas,Ashley,Low-Income Community,2011-2015
05007020301,Arkansas,Benton,Low-Income Community,2011-2015
05007021101,Arkansas,Benton,Low-Income Community,2011-2015
05009790501,Arkansas,Boone,Low-Income Community,2011-2015
05011950300,Arkansas,Bradley,Low-Income Community,2011-2015
05015950300,Arkansas,Carroll,Low-Income Community,2011-2015
05017080300,Arkansas,Chicot,Low-Income Community,2011-2015
05019953900,Arkansas,Clark,Low-Income Community,2011-2015
05023480300,Arkansas,Cleburne,Low-Income Community,2011-2015
05027950200,Arkansas,Columbia,Low-Income Community,2011-2015
05029950300,Arkansas,Conway,Low-Income Community,2011-2015
05031000101,Arkansas,Craighead,Low-Income Community,2011-2015
05031000502,Arkansas,Craighead,Low-Income Community,2011-2015
05031000602,Arkansas,Craighead,Low-Income Community,2011-2015
05033020501,Arkansas,Crawford,Low-Income Community,2011-2015
05035030600,Arkansas,Crittenden,Low-Income Community,2011-2015
05035030703,Arkansas,Crittenden,Low-Income Community,2011-2015
05039970300,Arkansas,Dallas,Low-Income Community,2011-2015
05041950100,Arkansas,Desha,Low-Income Community,2011-2015
05041950200,Arkansas,Desha,Low-Income Community,2011-2015
05043490300,Arkansas,Drew,Low-Income Community,2011-2015
05043490400,Arkansas,Drew,Low-Income Community,2011-2015
05045030403,Arkansas,Faulkner,Low-Income Community,2011-2015
05045030702,Arkansas,Faulkner,Low-Income Community,2011-2015
05045030900,Arkansas,Faulkner,Low-Income Community,2011-2015
05047950200,Arkansas,Franklin,Low-Income Community,2011-2015
05051010700,Arkansas,Garland,Low-Income Community,2011-2015
05051010800,Arkansas,Garland,Low-Income Community,2011-2015
05051011500,Arkansas,Garland,Low-Income Community,2011-2015
05053470300,Arkansas,Grant,Low-Income Community,2011-2015
05055480500,Arkansas,Greene,Low-Income Community,2011-2015
05055480700,Arkansas,Greene,Low-Income Community,2011-2015
05057480300,Arkansas,Hempstead,Low-Income Community,2011-2015
05059020200,Arkansas,Hot Spring,Low-Income Community,2011-2015
05061950300,Arkansas,Howard,Low-Income Community,2011-2015
05063490200,Arkansas,Independence,Low-Income Community,2011-2015
05063490600,Arkansas,Independence,Low-Income Community,2011-2015
05067480400,Arkansas,Jackson,Low-Income Community,2011-2015
05069000502,Arkansas,Jefferson,Low-Income Community,2011-2015
05069001000,Arkansas,Jefferson,Low-Income Community,2011-2015
05069002400,Arkansas,Jefferson,Non-LIC Contiguous,2011-2015
05069002500,Arkansas,Jefferson,Low-Income Community,2011-2015
05071952000,Arkansas,Johnson,Low-Income Community,2011-2015
05073470100,Arkansas,Lafayette,Low-Income Community,2011-2015
05075470100,Arkansas,Lawrence,Low-Income Community,2011-2015
05081030102,Arkansas,Little River,Low-Income Community,2011-2015
05083950500,Arkansas,Logan,Low-Income Community,2011-2015
05089960202,Arkansas,Marion,Low-Income Community,2011-2015
05091020500,Arkansas,Miller,Low-Income Community,2011-2015
05093010700,Arkansas,Mississippi,Non-LIC Contiguous,2011-2015
05093010800,Arkansas,Mississippi,Low-Income Community,2011-2015
05093011100,Arkansas,Mississippi,Low-Income Community,2011-2015
05099090200,Arkansas,Nevada,Low-Income Community,2011-2015
05103950200,Arkansas,Ouachita,Low-Income Community,2011-2015
05103950600,Arkansas,Ouachita,Low-Income Community,2011-2015
05107480400,Arkansas,Phillips,Low-Income Community,2011-2015
05107480600,Arkansas,Phillips,Low-Income Community,2011-2015
05113950400,Arkansas,Polk,Low-Income Community,2011-2015
05115951300,Arkansas,Pope,Low-Income Community,2011-2015
05115951600,Arkansas,Pope,Low-Income Community,2011-2015
05119000200,Arkansas,Pulaski,Low-Income Community,2011-2015
05119001800,Arkansas,Pulaski,Low-Income Community,2011-2015
05119002500,Arkansas,Pulaski,Low-Income Community,2011-2015
05119002800,Arkansas,Pulaski,Low-Income Community,2011-2015
05119003001,Arkansas,Pulaski,Low-Income Community,2011-2015
05119003605,Arkansas,Pulaski,Low-Income Community,2011-2015
05119004600,Arkansas,Pulaski,Low-Income Community,2011-2015
05119004700,Arkansas,Pulaski,Low-Income Community,2011-2015
05123960400,Arkansas,St. Francis,Low-Income Community,2011-2015
05123960600,Arkansas,St. Francis,Low-Income Community,2011-2015
05131000200,Arkansas,Sebastian,Low-Income Community,2011-2015
05131000300,Arkansas,Sebastian,Low-Income Community,2011-2015
05131000800,Arkansas,Sebastian,Low-Income Community,2011-2015
05133080300,Arkansas,Sevier,Low-Income Community,2011-2015
05139950900,Arkansas,Union,Low-Income Community,2011-2015
05139951000,Arkansas,Union,Low-Income Community,2011-2015
05141460200,Arkansas,Van Buren,Low-Income Community,2011-2015
05143010200,Arkansas,Washington,Low-Income Community,2011-2015
05143010301,Arkansas,Washington,Low-Income Community,2011-2015
05143010302,Arkansas,Washington,Low-Income Community,2011-2015
05143010600,Arkansas,Washington,Low-Income Community,2011-2015
05143011101,Arkansas,Washington,Low-Income Community,2011-2015
05143011200,Arkansas,Washington,Low-Income Community,2011-2015
05145070800,Arkansas,White,Low-Income Community,2011-2015
06001401000,California,Alameda,Low-Income Community,2011-2015
06001401400,California,Alameda,Low-Income Community,2011-2015
06001401500,California,Alameda,Low-Income Community,2011-2015
06001401600,California,Alameda,Low-Income Community,2011-2015
06001401700,California,Alameda,Low-Income Community,2011-2015
06001402200,California,Alameda,Low-Income Community,2011-2015
06001402400,California,Alameda,Low-Income Community,2011-2015
06001402500,California,Alameda,Low-Income Community,2011-2015
06001402600,California,Alameda,Low-Income Community,2011-2015
06001402700,California,Alameda,Low-Income Community,2011-2015
06001402800,California,Alameda,Low-Income Community,2011-2015
06001403300,California,Alameda,Low-Income Community,2011-2015
06001405901,California,Alameda,Low-Income Community,2011-2015
06001405902,California,Alameda,Low-Income Community,2011-2015
06001406000,California,Alameda,Low-Income Community,2011-2015
06001406100,California,Alameda,Low-Income Community,2011-2015
06001406201,California,Alameda,Low-Income Community,2011-2015
06001406202,California,Alameda,Low-Income Community,2011-2015
